event_id,ts,college_id,student_id,event_type,company,ctc_lpa,branch
COL-BH04-INT-000136,2026-05-11 06:27:18,COL-BH04,COL-BH04-S0129,interview_scheduled,Paperlane HR Tech,,Mech
COL-DL01-APP-000109,2026-05-11 08:09:37,COL-DL01,COL-DL01-S0238,application_submitted,,,Civil
COL-PN02-APP-000255,2026-05-11 08:45:59,COL-PN02,COL-PN02-S0022,application_submitted,,,IT
COL-JP03-APP-000129,2026-05-11 10:07:27,COL-JP03,COL-JP03-S0015,application_submitted,,,ECE
COL-BH04-APP-000023,2026-05-11 10:10:44,COL-BH04,COL-BH04-S0030,application_submitted,,,CSE
COL-DL01-APP-000039,2026-05-11 10:14:22,COL-DL01,COL-DL01-S0169,application_submitted,,,Civil
COL-DL01-APP-000039,2026-05-11 10:14:22,COL-DL01,COL-DL01-S0169,application_submitted,,,Civil
COL-DL01-APP-000262,2026-05-11 10:27:36,COL-DL01,COL-DL01-S0283,application_submitted,,,ECE
COL-JP03-INT-000245,2026-05-11 10:37:43,COL-JP03,COL-JP03-S0159,interview_scheduled,Ferrolytics,,Mech
COL-PN02-INT-000341,2026-05-11 11:09:04,COL-PN02,COL-PN02-S0204,interview_scheduled,Kelvin Manufacturing,,ECE
COL-PN02-OFF-000578,2026-05-11 11:41:49,COL-PN02,COL-PN02-S0051,offer_extended,Northgate Retail,6.7,CSE
COL-DL01-APP-000101,2026-05-11 13:22:52,COL-DL01,COL-DL01-S0250,application_submitted,,,Civil
COL-JP03-INT-000332,2026-05-11 15:00:34,COL-JP03,COL-JP03-S0189,interview_completed,Northgate Retail,,ECE
COL-PN02-INT-000487,2026-05-11 15:07:15,COL-PN02,COL-PN02-S0035,interview_completed,Quillhouse Media,,Mech
COL-PN02-APP-000052,2026-05-11 15:45:23,COL-PN02,COL-PN02-S0172,application_submitted,,,IT
COL-JP03-INT-000316,2026-05-11 16:12:36,COL-JP03,COL-JP03-S0133,interview_completed,Brightloom Analytics,,ECE
COL-DL01-APP-000183,2026-05-11 17:19:22,COL-DL01,COL-DL01-S0048,application_submitted,,,IT
COL-DL01-OFF-000689,2026-05-11 17:34:35,COL-DL01,COL-DL01-S0334,offer_extended,Ferrolytics,13.5,IT
COL-KN05-INT-000104,2026-05-11 18:03:41,COL-KN05,COL-KN05-S0044,interview_scheduled,Kelvin Manufacturing,,Mech
COL-JP03-APP-000145,2026-05-11 18:03:54,COL-JP03,COL-JP03-S0070,application_submitted,,,Civil
COL-DL01-OFF-000681,2026-05-11 18:20:16,COL-DL01,COL-DL01-S0169,offer_extended,Ferrolytics,10.2,Mech
COL-KN05-APP-000042,2026-05-11 18:24:20,COL-KN05,COL-KN05-S0060,application_submitted,,,Mech
COL-DL01-APP-000240,2026-05-11 19:07:30,COL-DL01,COL-DL01-S0110,application_submitted,,,Civil
COL-JP03-APP-000060,2026-05-11 19:36:58,COL-JP03,COL-JP03-S0170,application_submitted,,,ECE
COL-JP03-INT-000203,2026-05-11 20:58:14,COL-JP03,COL-JP03-S0095,interview_scheduled,Argento Fintech,,Mech
COL-PN02-OFF-000579,2026-05-12 00:44:39,COL-PN02,COL-PN02-S0236,offer_extended,Kelvin Manufacturing,9.3,CSE
COL-BH04-APP-000120,2026-05-12 01:03:25,COL-BH04,COL-BH04-S0182,application_submitted,,,IT
COL-JP03-INT-000177,2026-05-12 01:33:12,COL-JP03,COL-JP03-S0241,interview_scheduled,Quillhouse Media,,ECE
COL-DL01-INT-000467,2026-05-12 01:38:27,COL-DL01,COL-DL01-S0204,interview_scheduled,Paperlane HR Tech,,Mech
COL-JP03-INT-000218,2026-05-12 02:19:05,COL-JP03,COL-JP03-S0040,interview_scheduled,Ferrolytics,,Civil
COL-PN02-INT-000401,2026-05-12 03:39:43,COL-PN02,COL-PN02-S0017,interview_scheduled,Quillhouse Media,,Mech
COL-BH04-APP-000111,2026-05-12 04:13:21,COL-BH04,COL-BH04-S0140,application_submitted,,,ECE
COL-DL01-INT-000386,2026-05-12 05:37:03,COL-DL01,COL-DL01-S0152,interview_scheduled,Northgate Retail,,IT
COL-DL01-APP-000049,2026-05-12 08:16:45,COL-DL01,COL-DL01-S0059,application_submitted,,,Mech
COL-JP03-APP-000014,2026-05-12 08:22:28,COL-JP03,COL-JP03-S0185,application_submitted,,,Mech
COL-KN05-INT-000165,2026-05-12 08:51:45,COL-KN05,COL-KN05-S0095,interview_completed,Tarna Systems,,CSE
COL-DL01-APP-000239,2026-05-12 09:22:54,COL-DL01,COL-DL01-S0281,application_submitted,,,ECE
COL-PN02-INT-000411,2026-05-12 09:40:09,COL-PN02,COL-PN02-S0297,interview_completed,Tarna Systems,,CSE
COL-BH04-APP-000057,2026-05-12 09:53:21,COL-BH04,COL-BH04-S0062,application_submitted,,,CSE
COL-JP03-APP-000105,2026-05-12 10:14:05,COL-JP03,COL-JP03-S0052,application_submitted,,,Mech
COL-DL01-INT-000600,2026-05-12 10:46:42,COL-DL01,COL-DL01-S0114,interview_completed,Kelvin Manufacturing,,ECE
COL-PN02-APP-000065,2026-05-12 10:54:47,COL-PN02,COL-PN02-S0363,application_submitted,,,Civil
COL-DL01-INT-000416,2026-05-12 10:59:23,COL-DL01,COL-DL01-S0333,interview_scheduled,Sundeck Logistics,,Mech
COL-JP03-APP-000050,2026-05-12 11:14:17,COL-JP03,COL-JP03-S0201,application_submitted,,,Civil
COL-BH04-APP-000079,2026-05-12 11:17:09,COL-BH04,COL-BH04-S0166,application_submitted,,,Mech
COL-PN02-APP-000134,2026-05-12 12:26:13,COL-PN02,COL-PN02-S0275,application_submitted,,,IT
COL-DL01-INT-000396,2026-05-12 12:39:38,COL-DL01,COL-DL01-S0316,interview_scheduled,Paperlane HR Tech,,Civil
COL-PN02-APP-000160,2026-05-12 13:28:31,COL-PN02,COL-PN02-S0073,application_submitted,,,CSE
COL-JP03-APP-000048,2026-05-12 14:11:53,COL-JP03,COL-JP03-S0040,application_submitted,,,Mech
COL-PN02-INT-000344,2026-05-12 14:29:54,COL-PN02,COL-PN02-S0149,interview_scheduled,Brightloom Analytics,,ECE
COL-PN02-INT-000384,2026-05-12 15:21:00,COL-PN02,COL-PN02-S0179,interview_scheduled,Northgate Retail,,CSE
COL-JP03-INT-000241,2026-05-12 15:29:31,COL-JP03,COL-JP03-S0257,interview_scheduled,Northgate Retail,,Mech
COL-JP03-INT-000355,2026-05-12 15:53:10,COL-JP03,COL-JP03-S0138,interview_completed,Northgate Retail,,ECE
COL-DL01-INT-000337,2026-05-12 15:59:11,COL-DL01,COL-DL01-S0254,interview_scheduled,Ferrolytics,,Civil
COL-DL01-INT-000554,2026-05-12 16:21:15,COL-DL01,COL-DL01-S0102,interview_completed,Tarna Systems,,CSE
COL-DL01-OFF-000710,2026-05-12 16:34:16,COL-DL01,COL-DL01-S0145,offer_extended,Quillhouse Media,13.5,ECE
COL-KN05-INT-000197,2026-05-12 16:50:42,COL-KN05,COL-KN05-S0031,interview_completed,Northgate Retail,,CSE
COL-DL01-APP-000203,2026-05-12 17:18:44,COL-DL01,COL-DL01-S0104,application_submitted,,,Civil
COL-DL01-APP-000084,2026-05-12 17:35:56,COL-DL01,COL-DL01-S0316,application_submitted,,,Mech
COL-PN02-APP-000220,2026-05-12 17:48:48,COL-PN02,COL-PN02-S0328,application_submitted,,,IT
COL-DL01-APP-000158,2026-05-12 18:48:04,COL-DL01,COL-DL01-S0233,application_submitted,,,IT
COL-PN02-INT-000409,2026-05-12 19:02:49,COL-PN02,COL-PN02-S0324,interview_completed,Argento Fintech,,IT
COL-JP03-INT-000224,2026-05-12 19:03:07,COL-JP03,COL-JP03-S0001,interview_scheduled,Argento Fintech,,Mech
COL-DL01-INT-000629,2026-05-12 19:10:18,COL-DL01,COL-DL01-S0100,interview_completed,Argento Fintech,,Mech
COL-PN02-INT-000388,2026-05-12 20:13:12,COL-PN02,COL-PN02-S0034,interview_scheduled,Tarna Systems,,CSE
COL-JP03-OFF-000372,2026-05-12 22:10:19,COL-JP03,COL-JP03-S0184,offer_extended,Ferrolytics,13.4,IT
COL-PN02-INT-000479,2026-05-12 22:12:06,COL-PN02,COL-PN02-S0163,interview_completed,Brightloom Analytics,,IT
COL-PN02-APP-000192,2026-05-12 22:43:45,COL-PN02,COL-PN02-S0046,application_submitted,,,Mech
COL-BH04-APP-000029,2026-05-12 22:50:28,COL-BH04,COL-BH04-S0102,application_submitted,,,CSE
COL-DL01-APP-000059,2026-05-12 22:59:58,COL-DL01,COL-DL01-S0058,application_submitted,,,CSE
COL-PN02-INT-000313,2026-05-12 23:02:22,COL-PN02,COL-PN02-S0350,interview_scheduled,Voltbase,,IT
COL-DL01-INT-000487,2026-05-12 23:19:37,COL-DL01,COL-DL01-S0048,interview_scheduled,Northgate Retail,,Civil
COL-KN05-INT-000167,2026-05-12 23:32:34,COL-KN05,COL-KN05-S0117,interview_completed,Brightloom Analytics,,Civil
COL-JP03-INT-000343,2026-05-12 23:34:32,COL-JP03,COL-JP03-S0201,interview_completed,Argento Fintech,,Civil
COL-KN05-INT-000177,2026-05-12 23:52:17,COL-KN05,COL-KN05-S0126,interview_completed,Ferrolytics,,Civil
COL-DL01-APP-000067,2026-05-13 01:54:09,COL-DL01,COL-DL01-S0341,application_submitted,,,Mech
COL-PN02-INT-000285,2026-05-13 02:42:14,COL-PN02,COL-PN02-S0098,interview_scheduled,Northgate Retail,,Civil
COL-PN02-INT-000369,2026-05-13 02:43:37,COL-PN02,COL-PN02-S0039,interview_scheduled,Tarna Systems,,CSE
COL-KN05-APP-000007,2026-05-13 03:02:09,COL-KN05,COL-KN05-S0070,application_submitted,,,IT
COL-BH04-OFF-000258,2026-05-13 03:12:42,COL-BH04,COL-BH04-S0156,offer_extended,Argento Fintech,9.5,IT
COL-DL01-APP-000119,2026-05-13 04:56:12,COL-DL01,COL-DL01-S0127,application_submitted,,,CSE
COL-DL01-APP-000293,2026-05-13 05:37:42,COL-DL01,COL-DL01-S0102,application_submitted,,,CSE
COL-BH04-INT-000183,2026-05-13 05:40:56,COL-BH04,COL-BH04-S0188,interview_scheduled,Northgate Retail,,IT
COL-PN02-APP-000205,2026-05-13 06:16:27,COL-PN02,COL-PN02-S0123,application_submitted,,,ECE
COL-PN02-INT-000300,2026-05-13 07:01:20,COL-PN02,COL-PN02-S0201,interview_scheduled,Tarna Systems,,IT
COL-KN05-APP-000016,2026-05-13 08:15:50,COL-KN05,COL-KN05-S0110,application_submitted,,,IT
COL-DL01-APP-000223,2026-05-13 08:32:01,COL-DL01,COL-DL01-S0148,application_submitted,,,CSE
COL-PN02-OFF-000541,2026-05-13 08:32:49,COL-PN02,COL-PN02-S0082,offer_extended,Quillhouse Media,7.8,CSE
COL-BH04-INT-000166,2026-05-13 09:30:11,COL-BH04,COL-BH04-S0040,interview_scheduled,Voltbase,,Mech
COL-DL01-APP-000221,2026-05-13 10:06:41,COL-DL01,COL-DL01-S0171,application_submitted,,,IT
COL-JP03-INT-000206,2026-05-13 10:14:27,COL-JP03,COL-JP03-S0074,interview_scheduled,Voltbase,,CSE
COL-DL01-APP-000159,2026-05-13 10:16:55,COL-DL01,COL-DL01-S0210,application_submitted,,,IT
COL-PN02-APP-000172,2026-05-13 10:30:55,COL-PN02,COL-PN02-S0174,application_submitted,,,Civil
COL-DL01-APP-000163,2026-05-13 10:37:55,COL-DL01,COL-DL01-S0128,application_submitted,,,CSE
COL-DL01-INT-000367,2026-05-13 11:17:09,COL-DL01,COL-DL01-S0043,interview_scheduled,Paperlane HR Tech,,Civil
COL-PN02-APP-000023,2026-05-13 12:30:04,COL-PN02,COL-PN02-S0069,application_submitted,,,ECE
COL-DL01-APP-000252,2026-05-13 12:41:09,COL-DL01,COL-DL01-S0346,application_submitted,,,CSE
COL-DL01-INT-000560,2026-05-13 12:42:27,COL-DL01,COL-DL01-S0316,interview_completed,Kelvin Manufacturing,,IT
COL-DL01-INT-000398,2026-05-13 13:08:15,COL-DL01,COL-DL01-S0128,interview_scheduled,Voltbase,,Mech
COL-DL01-INT-000602,2026-05-13 13:09:45,COL-DL01,COL-DL01-S0165,interview_completed,Ferrolytics,,Civil
COL-DL01-INT-000653,2026-05-13 13:54:54,COL-DL01,COL-DL01-S0255,interview_completed,Quillhouse Media,,Mech
COL-BH04-INT-000169,2026-05-13 15:14:06,COL-BH04,COL-BH04-S0066,interview_scheduled,Ferrolytics,,ECE
COL-PN02-APP-000038,2026-05-13 16:23:20,COL-PN02,COL-PN02-S0053,application_submitted,,,Civil
COL-DL01-PLA-000763,2026-05-13 16:34:16,COL-DL01,COL-DL01-S0145,placement_confirmed,Quillhouse Media,13.5,IT
COL-PN02-INT-000264,2026-05-13 17:32:17,COL-PN02,COL-PN02-S0121,interview_scheduled,Paperlane HR Tech,,Civil
COL-KN05-INT-000127,2026-05-13 17:48:47,COL-KN05,COL-KN05-S0007,interview_scheduled,Voltbase,,Civil
COL-DL01-APP-000066,2026-05-13 17:56:25,COL-DL01,COL-DL01-S0337,application_submitted,,,CSE
COL-BH04-APP-000103,2026-05-13 18:52:01,COL-BH04,COL-BH04-S0008,application_submitted,,,CSE
COL-DL01-INT-000598,2026-05-13 18:52:37,COL-DL01,COL-DL01-S0010,interview_completed,Quillhouse Media,,ECE
COL-DL01-APP-000098,2026-05-13 19:20:58,COL-DL01,COL-DL01-S0268,application_submitted,,,Mech
COL-KN05-APP-000011,2026-05-13 19:27:44,COL-KN05,COL-KN05-S0121,application_submitted,,,CSE
COL-KN05-APP-000028,2026-05-13 21:06:10,COL-KN05,COL-KN05-S0144,application_submitted,,,ECE
COL-PN02-INT-000301,2026-05-13 21:07:31,COL-PN02,COL-PN02-S0163,interview_scheduled,Brightloom Analytics,,IT
COL-DL01-APP-000056,2026-05-13 21:32:46,COL-DL01,COL-DL01-S0231,application_submitted,,,IT
COL-PN02-APP-000239,2026-05-13 22:02:00,COL-PN02,COL-PN02-S0273,application_submitted,,,ECE
COL-PN02-INT-000319,2026-05-13 22:09:15,COL-PN02,COL-PN02-S0096,interview_scheduled,Paperlane HR Tech,,CSE
COL-DL01-INT-000617,2026-05-13 22:44:26,COL-DL01,COL-DL01-S0131,interview_completed,Ferrolytics,,IT
COL-JP03-APP-000140,2026-05-13 23:37:02,COL-JP03,COL-JP03-S0091,application_submitted,,,ECE
COL-DL01-INT-000383,2026-05-14 00:31:20,COL-DL01,COL-DL01-S0345,interview_scheduled,Ferrolytics,,ECE
COL-JP03-INT-000274,2026-05-14 00:33:52,COL-JP03,COL-JP03-S0028,interview_completed,Argento Fintech,,Civil
COL-PN02-INT-000266,2026-05-14 00:56:54,COL-PN02,COL-PN02-S0007,interview_scheduled,Argento Fintech,,Mech
COL-KN05-INT-000151,2026-05-14 01:36:46,COL-KN05,COL-KN05-S0113,interview_completed,Kelvin Manufacturing,,ECE
COL-DL01-APP-000209,2026-05-14 01:53:51,COL-DL01,COL-DL01-S0134,application_submitted,,,Mech
COL-PN02-INT-000503,2026-05-14 01:59:14,COL-PN02,COL-PN02-S0062,interview_completed,Ferrolytics,,ECE
COL-DL01-INT-000354,2026-05-14 02:41:22,COL-DL01,COL-DL01-S0120,interview_scheduled,Ferrolytics,,Civil
COL-KN05-INT-000105,2026-05-14 02:41:30,COL-KN05,COL-KN05-S0003,interview_scheduled,Argento Fintech,,CSE
COL-DL01-INT-000625,2026-05-14 02:53:06,COL-DL01,COL-DL01-S0106,interview_completed,Paperlane HR Tech,,CSE
COL-KN05-INT-000140,2026-05-14 03:23:16,COL-KN05,COL-KN05-S0102,interview_scheduled,Argento Fintech,,CSE
COL-PN02-APP-000209,2026-05-14 06:45:20,COL-PN02,COL-PN02-S0208,application_submitted,,,Civil
COL-PN02-INT-000306,2026-05-14 07:28:42,COL-PN02,COL-PN02-S0367,interview_scheduled,Argento Fintech,,ECE
COL-DL01-OFF-000669,2026-05-14 07:43:47,COL-DL01,COL-DL01-S0333,offer_extended,Tarna Systems,9.5,CSE
COL-DL01-INT-000340,2026-05-14 08:00:48,COL-DL01,COL-DL01-S0189,interview_scheduled,Kelvin Manufacturing,,ECE
COL-JP03-INT-000294,2026-05-14 08:05:04,COL-JP03,COL-JP03-S0259,interview_completed,Paperlane HR Tech,,IT
COL-KN05-INT-000155,2026-05-14 09:06:02,COL-KN05,COL-KN05-S0058,interview_completed,Voltbase,,IT
COL-JP03-APP-000094,2026-05-14 10:39:17,COL-JP03,COL-JP03-S0075,application_submitted,,,Mech
COL-DL01-APP-000182,2026-05-14 10:39:36,COL-DL01,COL-DL01-S0413,application_submitted,,,Mech
COL-PN02-INT-000294,2026-05-14 11:00:07,COL-PN02,COL-PN02-S0196,interview_scheduled,Brightloom Analytics,,CSE
COL-JP03-APP-000143,2026-05-14 11:15:30,COL-JP03,COL-JP03-S0259,application_submitted,,,CSE
COL-PN02-PLA-000613,2026-05-14 11:41:49,COL-PN02,COL-PN02-S0051,placement_confirmed,Northgate Retail,6.7,Mech
COL-DL01-INT-000499,2026-05-14 12:40:20,COL-DL01,COL-DL01-S0313,interview_completed,Kelvin Manufacturing,,Civil
COL-JP03-APP-000071,2026-05-14 13:53:11,COL-JP03,COL-JP03-S0159,application_submitted,,,ECE
COL-PN02-APP-000119,2026-05-14 14:33:03,COL-PN02,COL-PN02-S0146,application_submitted,,,ECE
COL-KN05-OFF-000215,2026-05-14 15:56:41,COL-KN05,COL-KN05-S0089,offer_extended,Brightloom Analytics,11.3,CSE
COL-DL01-OFF-000707,2026-05-14 16:02:33,COL-DL01,COL-DL01-S0212,offer_extended,Quillhouse Media,11.3,Mech
COL-PN02-INT-000288,2026-05-14 16:03:55,COL-PN02,COL-PN02-S0058,interview_scheduled,Brightloom Analytics,,CSE
COL-JP03-INT-000285,2026-05-14 16:29:42,COL-JP03,COL-JP03-S0185,interview_completed,Northgate Retail,,CSE
COL-PN02-INT-000371,2026-05-14 16:44:44,COL-PN02,COL-PN02-S0171,interview_scheduled,Tarna Systems,,Mech
COL-DL01-APP-000300,2026-05-14 16:48:18,COL-DL01,COL-DL01-S0211,application_submitted,,,IT
COL-DL01-APP-000097,2026-05-14 17:07:05,COL-DL01,COL-DL01-S0273,application_submitted,,,IT
COL-DL01-INT-000559,2026-05-14 17:40:23,COL-DL01,COL-DL01-S0198,interview_completed,Northgate Retail,,Mech
COL-DL01-PLA-000740,2026-05-14 18:20:16,COL-DL01,COL-DL01-S0169,placement_confirmed,Ferrolytics,10.2,IT
COL-JP03-APP-000021,2026-05-14 18:41:04,COL-JP03,COL-JP03-S0200,application_submitted,,,Mech
COL-JP03-INT-000346,2026-05-14 19:16:42,COL-JP03,COL-JP03-S0109,interview_completed,Quillhouse Media,,CSE
COL-DL01-INT-000626,2026-05-14 19:45:22,COL-DL01,COL-DL01-S0021,interview_completed,Tarna Systems,,CSE
COL-DL01-INT-000652,2026-05-14 19:46:23,COL-DL01,COL-DL01-S0056,interview_completed,Brightloom Analytics,,Mech
COL-KN05-APP-000013,2026-05-14 20:13:30,COL-KN05,COL-KN05-S0005,application_submitted,,,Mech
COL-JP03-APP-000123,2026-05-14 20:53:47,COL-JP03,COL-JP03-S0098,application_submitted,,,Mech
COL-PN02-INT-000342,2026-05-14 20:58:12,COL-PN02,COL-PN02-S0378,interview_scheduled,Ferrolytics,,IT
COL-PN02-APP-000181,2026-05-14 21:11:02,COL-PN02,COL-PN02-S0243,application_submitted,,,ECE
COL-JP03-INT-000232,2026-05-14 21:26:11,COL-JP03,COL-JP03-S0070,interview_scheduled,Argento Fintech,,Civil
COL-KN05-INT-000194,2026-05-14 22:07:21,COL-KN05,COL-KN05-S0102,interview_completed,Northgate Retail,,Civil
COL-KN05-APP-000031,2026-05-14 23:57:33,COL-KN05,COL-KN05-S0113,application_submitted,,,IT
COL-KN05-INT-000162,2026-05-15 01:16:35,COL-KN05,COL-KN05-S0049,interview_completed,Tarna Systems,,Mech
COL-PN02-OFF-000573,2026-05-15 01:18:06,COL-PN02,COL-PN02-S0324,offer_extended,Kelvin Manufacturing,13.6,Civil
COL-PN02-INT-000415,2026-05-15 02:08:39,COL-PN02,COL-PN02-S0136,interview_completed,Brightloom Analytics,,ECE
COL-KN05-APP-000008,2026-05-15 02:27:50,COL-KN05,COL-KN05-S0103,application_submitted,,,Mech
COL-KN05-INT-000174,2026-05-15 03:52:38,COL-KN05,COL-KN05-S0097,interview_completed,Tarna Systems,,Mech
COL-JP03-APP-000072,2026-05-15 04:37:07,COL-JP03,COL-JP03-S0074,application_submitted,,,IT
COL-PN02-APP-000162,2026-05-15 04:38:12,COL-PN02,COL-PN02-S0365,application_submitted,,,Mech
COL-PN02-OFF-000544,2026-05-15 04:40:31,COL-PN02,COL-PN02-S0349,offer_extended,Voltbase,6.8,ECE
COL-BH04-INT-000172,2026-05-15 05:16:09,COL-BH04,COL-BH04-S0050,interview_scheduled,Paperlane HR Tech,,Mech
COL-BH04-INT-000159,2026-05-15 05:18:03,COL-BH04,COL-BH04-S0003,interview_scheduled,Tarna Systems,,Civil
COL-PN02-PLA-000611,2026-05-15 08:32:49,COL-PN02,COL-PN02-S0082,placement_confirmed,Quillhouse Media,7.8,IT
COL-KN05-INT-000164,2026-05-15 08:38:05,COL-KN05,COL-KN05-S0012,interview_completed,Ferrolytics,,ECE
COL-DL01-APP-000122,2026-05-15 09:01:56,COL-DL01,COL-DL01-S0200,application_submitted,,,IT
COL-JP03-APP-000122,2026-05-15 09:20:06,COL-JP03,COL-JP03-S0014,application_submitted,,,CSE
COL-DL01-APP-000011,2026-05-15 09:31:51,COL-DL01,COL-DL01-S0234,application_submitted,,,Civil
COL-KN05-INT-000133,2026-05-15 09:36:53,COL-KN05,COL-KN05-S0136,interview_scheduled,Ferrolytics,,Civil
COL-KN05-APP-000069,2026-05-15 09:59:31,COL-KN05,COL-KN05-S0056,application_submitted,,,Mech
COL-PN02-APP-000254,2026-05-15 11:22:11,COL-PN02,COL-PN02-S0245,application_submitted,,,Civil
COL-BH04-APP-000064,2026-05-15 11:31:07,COL-BH04,COL-BH04-S0023,application_submitted,,,Mech
COL-DL01-INT-000406,2026-05-15 12:00:54,COL-DL01,COL-DL01-S0389,interview_scheduled,Sundeck Logistics,,IT
COL-BH04-APP-000031,2026-05-15 12:09:32,COL-BH04,COL-BH04-S0052,application_submitted,,,IT
COL-DL01-INT-000654,2026-05-15 12:27:32,COL-DL01,COL-DL01-S0300,interview_completed,Paperlane HR Tech,,ECE
COL-DL01-INT-000541,2026-05-15 12:48:31,COL-DL01,COL-DL01-S0137,interview_completed,Brightloom Analytics,,IT
COL-BH04-INT-000221,2026-05-15 13:39:44,COL-BH04,COL-BH04-S0052,interview_completed,Ferrolytics,,IT
COL-PN02-OFF-000567,2026-05-15 14:40:30,COL-PN02,COL-PN02-S0172,offer_extended,Ferrolytics,3.8,ECE
COL-PN02-APP-000233,2026-05-15 14:44:21,COL-PN02,COL-PN02-S0096,application_submitted,,,Mech
COL-DL01-INT-000530,2026-05-15 15:32:07,COL-DL01,COL-DL01-S0148,interview_completed,Voltbase,,ECE
